market_slug,ticker,earnings_date,eps_type,accounting_basis,eps_target,actual_eps,consensus_mean,beat_prob_last,sigma,implied_eps_t,implied_eps_ecdf
bkng-quarterly-earnings-nongaap-eps-10-28-2025-95pt61,BKNG,2025-10-28,nongaap,Non-GAAP,95.61,99.5,95.27,0.880101110844241,2.3491945750650682,98.85,93.14
blk-quarterly-earnings-nongaap-eps-01-15-2026-12pt64,BLK,2026-01-15,nongaap,Non-GAAP,12.64,48.09,12.72,0.5243480245469432,0.6617241025372944,12.68,12.12
blk-quarterly-earnings-nongaap-eps-2025-10-14-11pt76,BLK,2025-10-14,nongaap,Non-GAAP,11.76,11.55,11.87,0.9698529954711782,0.5959926784175061,13.31,11.99
blsh-quarterly-earnings-gaap-eps-11-19-2025-1pt59,BLSH,2025-11-19,gaap,GAAP,1.59,0.1,0.57,0.40752720102848816,,,
bmbl-quarterly-earnings-gaap-eps-11-05-2025-0pt33,BMBL,2025-11-05,gaap,GAAP,0.33,0.33,0.37,0.2250444035717085,1.6587424499154522,-1.06,0.3
bp-quarterly-earnings-nongaap-eps-02-10-2026-0pt61,BP,2026-02-10,nongaap,Non-GAAP,0.61,2.88,0.64,0.06864086746486531,0.17096827634140643,0.29,0.41
brze-quarterly-earnings-nongaap-eps-12-09-2025-0pt07,BRZE,2025-12-09,nongaap,Non-GAAP,0.07,0.06,0.06,0.0010000000000000009,0.037254245232976976,-0.2,-0.05
btm-quarterly-earnings-gaap-eps-11-13-2025-0pt1,BTM,2025-11-13,gaap,GAAP,0.1,0.08,0.06,0.3372608444181299,,,0.11
bud-quarterly-earnings-nongaap-eps-02-12-2026-0pt89,BUD,2026-02-12,nongaap,Non-GAAP,0.89,3.73,0.93,0.9443769551426919,0.07464562744708961,1.04,0.86
bud-quarterly-earnings-nongaap-eps-10-30-2025-0pt95,BUD,2025-10-30,nongaap,Non-GAAP,0.95,0.99,0.95,0.999,0.07593358341938758,1.49,0.92
burl-quarterly-earnings-gaap-eps-11-25-2025-1pt55,BURL,2025-11-25,gaap,GAAP,1.55,1.635,1.59,0.8381505336341621,0.2525910600879683,1.83,1.67
